idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key,density_temperature_c,density_citation_notes
1,Water,H2O,liquid,962.0,O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,7732-18-5,18.015,,,,,0.997085,literature,8048.0,9.441597485537375,0.03165951639067285,-0.5593281229671232,6.167446706159055e-05,False,main,H2O,,,Segelstein,,1.3314546485461962,1.531939859171943e-08,,,,,"pubchem: 19 CAS numbers in PUG-View record, took first/primary (7732-18-5); density = CIPM water formula at 24.85 degC (Tanaka et al. 2001), not a PubChem record (HSDB's 0.9950 g/cm3 at 25 degC is 0.2% below the metrological value); additional dataset ice | Warren2008 (-7 degC): n(633 nm)=1.30844; additional dataset liquid | Hale1973 (24.85 degC): n(633 nm)=1.33168; additional dataset ice | Warren1984 (-7 degC): n(633 nm)=1.30844; additional dataset liquid | Kedenburg2012 (19.85 degC): n(633 nm)=1.3318635612136946; additional dataset liquid | Daimon2007-19.0C (19 degC): n(633 nm)=1.3321889148130792; additional dataset liquid | Daimon2007-20.0C (20 degC): n(633 nm)=1.3321006363507388; additional dataset liquid | Daimon2007-21.5C (21.5 degC): n(633 nm)=1.3319625169243956; additional dataset liquid | Daimon2007-24.0C (24 degC): n(633 nm)=1.3317171087660804; additional dataset liquid | Bashkatov2003 (20 degC): n(633 nm)=1.3313445377844262; additional dataset amorphous ice | Kofman2019-10K (-263.15 degC): n(633 nm)=1.1897624544235967; additional dataset amorphous ice | Kofman2019-30K (-243.15 degC): n(633 nm)=1.2175425192538363; additional dataset amorphous ice | Kofman2019-50K (-223.15 degC): n(633 nm)=1.2275631986549291; additional dataset amorphous ice | Kofman2019-70K (-203.15 degC): n(633 nm)=1.246393797469071; additional dataset amorphous ice | Kofman2019-90K (-183.15 degC): n(633 nm)=1.260245944796613; additional dataset amorphous ice | Kofman2019-110K (-163.15 degC): n(633 nm)=1.2788345460239678; additional dataset amorphous ice | Kofman2019-130K (-143.15 degC): n(633 nm)=1.300929349839936; additional dataset crystalline ice | Kofman2019 (-123.15 degC): n(633 nm)=1.3043134161619054; additional dataset supercooled liquid | Rowe2020-240K (-33.15 degC): n(633 nm)=None; additional dataset supercooled liquid | Rowe2020-253K (-20.15 degC): n(633 nm)=None; additional dataset supercooled liquid | Rowe2020-263K (-10.15 degC): n(633 nm)=None; additional dataset supercooled liquid | Rowe2020-273K (0 degC): n(633 nm)=None; additional dataset liquid | Afsar1977 (19 degC): n(633 nm)=None; 23 datasets loaded; n_633/k_633 columns are the primary (liquid | Segelstein1981, widest span covering 633 nm); k-only page(s) ['Wang'] listed but not loaded (no n); one compound, several phases: each dataset is labelled with the phase its page states",,,,,10.1088/0026-1394/38/4/3,Recommended table for the density of water between 0 C and 40 C based on recent experimental reports,"M. Tanaka, G. Girard, R. Davis, A. Peuto, N. Bignell",Metrologia,2001.0,liquid,H2O,24.85,CIPM formula for SMOW evaluated at 24.85 degC (the primary optical dataset's temperature).
2,Heavy water (D2O),D2O,liquid,24602.0,[2H]O[2H],XLYOFNOQVPJJNP-ZSJDYOACSA-N,7789-20-0,20.028,,,,,1.10536,literature,8048.0,9.415231391658908,0.03157110573955348,6.3617119271242,1.1350448400697406e-07,False,main,H2O,,,Kedenburg-D2O,,1.3270391562455115,2.9114959540535643e-08,,,,,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (7789-20-0); density = NIST SRD 69 reference equation of state at 19.85 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: 1.1044 g/cm3 at 25 degC (Hazardous Substances Data Bank (HSDB)); additional dataset liquid | Sarkar2022: n(633 nm)=1.3269960902867106; additional dataset liquid | Afsar1977 (19.5 degC): n(633 nm)=None; 3 datasets loaded; n_633/k_633 columns are the primary (liquid | Kedenburg2012, widest span covering 633 nm); k-only page(s) ['Wang-D2O'] listed but not loaded (no n); its pages sit in the H2O book; a different compound (different InChIKey)",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,D2O,19.85,"Reference equation of state for Heavy water (D2O) (CAS 7789-20-0) at 19.85 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C7789200&Type=IsoBar&Digits=6&P=0.101325&THigh=20.85&TLow=19.85&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
3,Carbon disulfide,CS2,,6348.0,C(=S)=S,QGJOPFRUJISHPQ-UHFFFAOYSA-N,75-15-0,76.15,,,,,1.2632,literature,8048.0,10.893956202843702,0.31270848076825514,1.2331584280905876,2.9551484084382858e-05,False,main,CS2,,,Chang,,1.617321306027396,,,,,,"pubchem: 23 CAS numbers in PUG-View record, took first/primary (75-15-0); density 1.2632 g/cm3 at 20 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('1.2632 g/cu cm at 20 °C'); consistent with 2 other record(s): CAMEO Chemicals '1.2632 at 68 °F (EPA, 1998) - Dens'; PAC Chemical Database, U.S.  '1.2632 @25 °C'; additional dataset Kedenburg2012 (20 degC): n(633 nm)=1.6210275754030776; additional dataset Ghosal1993 (24.85 degC): n(633 nm)=None; 3 datasets loaded; n_633/k_633 columns are the primary (Chang2024, widest span covering 633 nm); page Chemnitz NOT loaded: the Sellmeier fit (stated for 0.3-12 um) has a pole inside its range at CS2's ~6.5 um absorption band: n^2 <= 0 from 6.477 to 6.592 um and n > 5 up to 6.605 um, which the pipeline would store as floored n ~1e-15. Same open decision as GaSe (load the fit with that window removed?); CS2's other three papers are loaded",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 6348: density of Carbon disulfide,,,,liquid,CS2,20.0,PubChem record text: '1.2632 g/cu cm at 20 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/6348
4,Mercury (liquid),Hg,,23931.0,[Hg],QSHDDOUJBYECFT-UHFFFAOYSA-N,7439-97-6,200.59,,,,,13.5336,literature,8048.0,87.13500724107901,9.231996271969741,5.117393368465372,0.042065299299951245,False,main,Hg,,,Inagaki,,1.980955975609756,5.231633205574913,,,,,"pubchem: 20 CAS numbers in PUG-View record, took first/primary (7439-97-6); density 13.5336 g/cm3 at 25 degC from PAC Chemical Database, U.S. Department of Energy via PubChem ('13.5336 @25 °C'); consistent with 2 other record(s): CAMEO Chemicals '13.55 at 68 °F (USCG, 1999) - Dens'; Hazardous Substances Data Ba '13.534 @ 25 °C'; liquid metal at room temperature",,,,,,"PAC Chemical Database, U.S. Department of Energy via PubChem CID 23931: density of Mercury (liquid)",,,,liquid,Hg,25.0,PubChem record text: '13.5336 @25 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/23931
5,n-Pentane,C5H12,,8003.0,CCCCC,OFBQJSOFQDEBGM-UHFFFAOYSA-N,109-66-0,72.15,,,,,0.626342,literature,8048.0,6.2013945107219755,0.007073047494648425,-0.6092912028736398,5.827790825382452e-05,False,organic,pentane,,,Kerl-293K,,1.3572850743423703,,,,,,"pubchem: 26 CAS numbers in PUG-View record, took first/primary (109-66-0); density = NIST SRD 69 reference equation of state at 19.85 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: 0.6262 g/cm3 at 20 degC (Hazardous Substances Data Bank (HSDB)); additional dataset Kerl1995-313K (39.85 degC): n(633 nm)=1.3454886285018306; additional dataset Kerl1995-333K (59.85 degC): n(633 nm)=1.333692182661291; 3 datasets loaded; n_633/k_633 columns are the primary (Kerl1995-293K, widest span covering 633 nm)",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,n-C5H12,19.85,"Reference equation of state for n-Pentane (CAS 109-66-0) at 19.85 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C109660&Type=IsoBar&Digits=6&P=0.101325&THigh=20.85&TLow=19.85&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
6,Isopentane (2-methylbutane),C5H12,,6556.0,CCC(C)C,QWTDNUCVQCZILF-UHFFFAOYSA-N,78-78-4,72.15,,,,,0.620063,literature,8048.0,6.139226308473327,0.00700214108055054,-0.6031831349764789,5.7693679532254256e-05,False,organic,pentane,,,Anderson,,,,,,,,"pubchem: 19 CAS numbers in PUG-View record, took first/primary (78-78-4); density = NIST SRD 69 reference equation of state at 20 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: no consistent PubChem record; [Anderson] 633nm outside n range of organic/C5H12 - pentane/nk/Anderson.yml",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,i-C5H12,20.0,"Reference equation of state for Isopentane (2-methylbutane) (CAS 78-78-4) at 20 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C78784&Type=IsoBar&Digits=6&P=0.101325&THigh=21&TLow=20&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
7,n-Hexane,C6H14,,8058.0,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,110-54-3,86.18,,,,,0.657712,literature,8048.0,6.490650152586785,0.007461989700268867,-0.574026354768995,5.978263943344529e-05,False,organic,hexane,,,Kozma,,1.3743353318191582,,,,,,"pubchem: 29 CAS numbers in PUG-View record, took first/primary (110-54-3); density = NIST SRD 69 reference equation of state at 21.85 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: no consistent PubChem record; additional dataset Kerl1995-293K (19.85 degC): n(633 nm)=1.3531245690075844; additional dataset Kerl1995-313K (39.85 degC): n(633 nm)=1.363907317281183; additional dataset Kerl1995-333K (59.85 degC): n(633 nm)=1.3526760813525702; 4 datasets loaded; n_633/k_633 columns are the primary (Kozma2005, widest span covering 633 nm)",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,n-C6H14,21.85,"Reference equation of state for n-Hexane (CAS 110-54-3) at 21.85 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C110543&Type=IsoBar&Digits=6&P=0.101325&THigh=22.85&TLow=21.85&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
8,n-Heptane,C7H16,,8900.0,CCCCCCC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,142-82-5,100.2,,,,,0.683973,literature,8048.0,6.733830178678054,0.007785907737971868,-0.5476903540890576,6.111078509953168e-05,False,organic,heptane,,,Kerl-293K,,1.3875254692387862,,,,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (142-82-5); density = NIST SRD 69 reference equation of state at 19.85 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: no consistent PubChem record; additional dataset Kerl1995-313K (39.85 degC): n(633 nm)=1.3772297060239238; additional dataset Kerl1995-333K (59.85 degC): n(633 nm)=1.3669339586068496; 3 datasets loaded; n_633/k_633 columns are the primary (Kerl1995-293K, widest span covering 633 nm)",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,n-C7H16,19.85,"Reference equation of state for n-Heptane (CAS 142-82-5) at 19.85 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C142825&Type=IsoBar&Digits=6&P=0.101325&THigh=20.85&TLow=19.85&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
9,n-Octane,C8H18,,356.0,CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,111-65-9,114.23,,,,,0.702731,literature,8048.0,6.906121739964239,0.008019571639001279,-0.5245326743343942,6.196603986023365e-05,False,organic,octane,,,Kerl-293K,,1.3974815156922702,,,,,,"pubchem: 20 CAS numbers in PUG-View record, took first/primary (111-65-9); density = NIST SRD 69 reference equation of state at 19.85 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: no consistent PubChem record; additional dataset Kerl1995-313K (39.85 degC): n(633 nm)=1.3876683540217476; additional dataset Kerl1995-333K (59.85 degC): n(633 nm)=1.3778551765534368; additional dataset Myers2018 (25.85 degC): n(633 nm)=None; 4 datasets loaded; n_633/k_633 columns are the primary (Kerl1995-293K, widest span covering 633 nm); [Myers] the page's COMMENTS say 'Isopropanol' (a copy error in refractiveindex.info); its title and book identify n-Octane",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,n-C8H18,19.85,"Reference equation of state for n-Octane (CAS 111-65-9) at 19.85 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C111659&Type=IsoBar&Digits=6&P=0.101325&THigh=20.85&TLow=19.85&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
10,"Isooctane (2,2,4-trimethylpentane)",C8H18,,10907.0,CC(C)CC(C)(C)C,NHTMVDHEPJAVLT-UHFFFAOYSA-N,540-84-1,114.23,,,,,0.691923,literature,8048.0,6.799905614924168,0.00789623065891882,-0.5164653638781795,6.1013002412320574e-05,False,organic,octane,,,Anderson,,,,,,,,"pubchem: 23 CAS numbers in PUG-View record, took first/primary (540-84-1); density 0.691923 g/cm3 at 20 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('0.69194 @ 20 °C/4 °C'); consistent with 1 other record(s): PAC Chemical Database, U.S.  '0.692 @ 20°C'; [Anderson] 633nm outside n range of organic/C8H18 - octane/nk/Anderson.yml",,,,,,"Hazardous Substances Data Bank (HSDB) via PubChem CID 10907: density of Isooctane (2,2,4-trimethylpentane)",,,,liquid,i-C8H18,20.0,PubChem record text: '0.69194 @ 20 °C/4 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/10907
11,Bromoform,CHBr3,,5558.0,C(Br)(Br)Br,DIKBFYAXUHHXCS-UHFFFAOYSA-N,75-25-2,252.73,,,,,2.8788,literature,8048.0,21.26175462550486,0.7720445138768864,1.5966797841711504,0.00040128176426858263,False,organic,bromoform,,,Ghosal,,,,,,,,"pubchem: 21 CAS numbers in PUG-View record, took first/primary (75-25-2); density 2.8788 g/cm3 at 25 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('2.8788 g/cu cm at 25 °C'); consistent with 2 other record(s): CAMEO Chemicals '2.8912 at 68 °F (USCG, 1999) - Den'; PAC Chemical Database, U.S.  '2.8788 @25 °C'; [Ghosal] 633nm outside n range of organic/CHBr3 - bromoform/nk/Ghosal.yml",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 5558: density of Bromoform,,,,liquid,CHBr3,25.0,PubChem record text: '2.8788 g/cu cm at 25 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/5558
12,Dichloromethane,CH2Cl2,,6344.0,C(Cl)Cl,YMWUJEATGCHHMB-UHFFFAOYSA-N,75-09-2,84.93,,,,,,,8048.0,,,,,False,organic,dichloromethane,,,Chang,,1.421790154559708,,,,,,"pubchem: 23 CAS numbers in PUG-View record, took first/primary (75-09-2); PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '1.322 at 68 °F (USCG, 1999) - Dens' vs PAC Chemical Database, U.S.  '1.3266 @ 20°C'; SLD: no density available, xray/neutron SLD left NULL; additional dataset Li2022: n(633 nm)=1.4232122291024827; additional dataset Bertie1995 (24.85 degC): n(633 nm)=None; 3 datasets loaded; n_633/k_633 columns are the primary (Chang2024, widest span covering 633 nm)",,,,,,,,,,liquid,CH2Cl2,,
13,Chloroform,CHCl3,,6212.0,C(Cl)(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N,67-66-3,119.37,,,,,1.4788,literature,8048.0,12.429771284643325,0.4424561421578452,2.3607978015158397,0.0020920166942981298,False,organic,chloroform,,,Chang,,1.4429472869932907,,,,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (67-66-3); density 1.4788 g/cm3 at 25 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('1.4788 g/cu cm at 25 °C'); consistent with 2 other record(s): CAMEO Chemicals '1.4832 at 68 °F (EPA, 1998) - Dens'; PAC Chemical Database, U.S.  '1.4788 @25 °C'; additional dataset Kedenburg2012 (19.85 degC): n(633 nm)=1.4422675509085385; 2 datasets loaded; n_633/k_633 columns are the primary (Chang2024, widest span covering 633 nm)",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 6212: density of Chloroform,,,,liquid,CHCl3,25.0,PubChem record text: '1.4788 g/cu cm at 25 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/6212
14,Carbon tetrachloride,CCl4,,5943.0,C(Cl)(Cl)(Cl)Cl,VZGDMQKNWNREIO-UHFFFAOYSA-N,56-23-5,153.8,,,,,1.594,literature,8048.0,13.276541201299638,0.49294247855878437,2.806187998188869,0.002325671026348344,False,organic,carbon_tetrachloride,,,Chang,,1.456390267271562,,,,,,"pubchem: 21 CAS numbers in PUG-View record, took first/primary (56-23-5); density 1.594 g/cm3 at 20 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('1.5940 g/cu cm at 20 °C'); consistent with 2 other record(s): CAMEO Chemicals '1.59 at 68 °F (USCG, 1999) - Dense'; PAC Chemical Database, U.S.  '1.5940 @ 20°C'; additional dataset Moutzouris2013 (26.85 degC): n(633 nm)=1.4551192725942868; additional dataset Kedenburg2012 (19.85 degC): n(633 nm)=1.4579065574919017; additional dataset Ghosal1993 (24.85 degC): n(633 nm)=None; 4 datasets loaded; n_633/k_633 columns are the primary (Chang2024, widest span covering 633 nm)",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 5943: density of Carbon tetrachloride,,,,liquid,CCl4,20.0,PubChem record text: '1.5940 g/cu cm at 20 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/5943
15,Bromotrichloromethane,CBrCl3,,6383.0,C(Cl)(Cl)(Cl)Br,XNNQFQFUQLJSQT-UHFFFAOYSA-N,75-62-7,198.27,,,,,2.012,literature,8048.0,15.920754834799455,0.5911586015568289,2.5774239287579466,0.0018252887432721348,False,organic,bromotrichloromethane,,,Chang,,1.5020464050741582,,,,,,"pubchem: 13 CAS numbers in PUG-View record, took first/primary (75-62-7); density 2.012 g/cm3 at 25 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('2.012 @ 25 °C'); consistent with 1 other record(s): PAC Chemical Database, U.S.  '2.012 @25 °C'; refractiveindex.info about.yml for this book lists the formula CH4 (a copy error); the catalog title, folder name and data identify the compound",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 6383: density of Bromotrichloromethane,,,,liquid,CBrCl3,25.0,PubChem record text: '2.012 @ 25 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/6383
16,Perfluorohexane,C6F14,,9639.0,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,ZJIJAJXFLBMLCK-UHFFFAOYSA-N,355-42-0,338.04,,,,,,,8048.0,,,,,False,organic,perfluorohexane,,,Chang,,1.2508555757613729,,,,,,"pubchem: 12 CAS numbers in PUG-View record, took first/primary (355-42-0); PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: Hazardous Substances Data Ba '1.6910 g/cu cm at 20 °C' vs PAC Chemical Database, U.S.  '1.6995 @ 20°C'; SLD: no density available, xray/neutron SLD left NULL",,,,,,,,,,liquid,C6F14,,
17,Tetrachloroethylene,C2Cl4,,31373.0,C(=C(Cl)Cl)(Cl)Cl,CYTYCFOTNPOANT-UHFFFAOYSA-N,127-18-4,165.8,,,,,1.623,literature,8048.0,13.538688071415784,0.46715024396776966,3.042084197907678,0.002196519560086292,False,organic,tetrachloroethylene,,,Chang,,1.5013746018945509,,,,,,"pubchem: 21 CAS numbers in PUG-View record, took first/primary (127-18-4); density 1.623 g/cm3 at 20 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('1.6230 g/cu cm at 20 °C'); consistent with 2 other record(s): CAMEO Chemicals '1.63 at 68 °F (USCG, 1999) - Dense'; PAC Chemical Database, U.S.  '1.623 @ 20°C'",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 31373: density of Tetrachloroethylene,,,,liquid,C2Cl4,20.0,PubChem record text: '1.6230 g/cu cm at 20 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/31373
18,Benzene,C6H6,,241.0,C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,71-43-2,78.11,,,,,0.876974,literature,8048.0,8.023738692493156,0.01097504039407468,1.1789637045073442,3.791480464583521e-05,False,organic,benzene,,,Chang,,1.4962893221714781,,,,,,"pubchem: 24 CAS numbers in PUG-View record, took first/primary (71-43-2); density = NIST SRD 69 reference equation of state at 21.85 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: no consistent PubChem record; additional dataset Moutzouris2013 (26.85 degC): n(633 nm)=1.4925074291876845; additional dataset Myers2018 (25.85 degC): n(633 nm)=None; 3 datasets loaded; n_633/k_633 columns are the primary (Chang2024, widest span covering 633 nm)",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,C6H6,21.85,"Reference equation of state for Benzene (CAS 71-43-2) at 21.85 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C71432&Type=IsoBar&Digits=6&P=0.101325&THigh=22.85&TLow=21.85&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
19,"1,4-Oxathiane",C4H8OS,,27596.0,C1CSCCO1,JBYHSSAVUBIJMK-UHFFFAOYSA-N,15980-15-1,104.17,,,,,1.12,literature,8048.0,10.302492548474124,0.11360016188674324,0.3439706294936953,5.770929437128889e-05,False,organic,oxathiane,,,Myers,,,,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (15980-15-1); density 1.12 g/cm3 at 20 degC from PAC Chemical Database, U.S. Department of Energy via PubChem ('1.12 @ 20°C'); single record: no second PubChem record to check it against; [Myers] 633nm outside n range of organic/C4H8OS - oxathiane/nk/Myers.yml",,,,,,"PAC Chemical Database, U.S. Department of Energy via PubChem CID 27596: density of 1,4-Oxathiane",,,,liquid,C4H8OS,20.0,PubChem record text: '1.12 @ 20°C'. https://pubchem.ncbi.nlm.nih.gov/compound/27596
20,Pyridine,C5H5N,,1049.0,C1=CC=NC=C1,JUJWROOIHBZHMG-UHFFFAOYSA-N,110-86-1,79.1,,,,,0.982695,literature,8048.0,8.881533291348342,0.013990775890715032,1.7874158376959073,7.44914073660151e-05,False,organic,pyridine,,,Chang,,1.5044825561207704,,,,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (110-86-1); density 0.982695 g/cm3 at 20 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('0.98272 @ 20 °C/4 °C'); consistent with 3 other record(s): CAMEO Chemicals '0.983 at 68 °F (USCG, 1999) - Less'; Occupational Safety and Heal '0.983 at 68 °F'; PAC Chemical Database, U.S.  '0.9827 @ 20°C'",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 1049: density of Pyridine,,,,liquid,C5H5N,20.0,PubChem record text: '0.98272 @ 20 °C/4 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/1049
21,Cyclohexane,C6H12,,8078.0,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,110-82-7,84.16,,,,,0.776937,literature,8048.0,7.53757387849674,0.009025438213547128,-0.27838785842156244,6.20273960864799e-05,False,organic,cyclohexane,,,Chang,,1.4240146313750013,,,,,,"pubchem: 24 CAS numbers in PUG-View record, took first/primary (110-82-7); density = NIST SRD 69 reference equation of state at 21.85 degC and 1 atm (the primary optical dataset's temperature); preferred over PubChem records; PubChem cross-check: 0.7780805475 g/cm3 at 20 degC (Hazardous Substances Data Bank (HSDB)); additional dataset Kozma2005 (21.85 degC): n(633 nm)=1.4238178557198564; additional dataset Rheims1997 (19.85 degC): n(633 nm)=1.424908278231223; additional dataset Kerl1995-293K (19.85 degC): n(633 nm)=1.4253774200847291; additional dataset Kerl1995-313K (39.85 degC): n(633 nm)=1.4135658668711395; additional dataset Kerl1995-333K (59.85 degC): n(633 nm)=1.4017543136575499; 6 datasets loaded; n_633/k_633 columns are the primary (Chang2024, widest span covering 633 nm); refractiveindex.info about.yml for this book lists the formula C6H14 (a copy error); the catalog title, folder name and data identify the compound",,,,,10.18434/T4D303,"NIST Chemistry WebBook, NIST Standard Reference Database 69: Thermophysical Properties of Fluid Systems","E. W. Lemmon, I. H. Bell, M. L. Huber, M. O. McLinden",,,liquid,C6H12,21.85,"Reference equation of state for Cyclohexane (CAS 110-82-7) at 21.85 degC, 0.101325 MPa: https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C110827&Type=IsoBar&Digits=6&P=0.101325&THigh=22.85&TLow=21.85&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm"
